timestamp,gpstime,speed,latitude,longitude
2011-01-04 07:13:21.96,2011-01-04 07:13:36.37,21,48.93061,24.96296
2011-01-04 07:13:30.9,2011-01-04 07:13:45.43,14,48.93016,24.96312
2011-01-04 07:13:43.023,2011-01-04 07:13:57.49,10,48.93001,24.96314
2011-01-04 07:13:51.837,2011-01-04 07:14:06.55,30,48.92971,24.9626
2011-01-04 07:13:57.447,2011-01-04 07:14:12.61,39,48.92938,24.96199
2011-01-04 07:14:02.96,2011-01-04 07:14:17.67,42,48.92904,24.96136
2011-01-04 07:14:08.477,2011-01-04 07:14:22.73,33,48.92872,24.96076
2011-01-04 07:16:36.367,2011-01-04 07:16:49.873,50,48.92753,24.95853
2011-01-04 07:16:36.367,2011-01-04 07:16:46.643,42,48.92783,24.95909
2011-01-04 07:16:36.367,2011-01-04 07:16:41.323,32,48.92813,24.95965
2011-01-04 07:16:36.367,2011-01-04 07:16:34.207,18,48.92843,24.96017
2011-01-04 07:16:40.35,2011-01-04 07:16:54.933,51,48.92712,24.95777
2011-01-04 07:16:45.9,2011-01-04 07:17:00.053,50,48.9267,24.95702
2011-01-04 07:16:49.803,2011-01-04 07:17:05.113,54,48.92628,24.95626
2011-01-04 07:16:53.867,2011-01-04 07:17:09.233,58,48.92592,24.95559
2011-01-04 07:16:58.007,2011-01-04 07:17:13.363,61,48.92554,24.95488
2011-01-04 07:17:02.087,2011-01-04 07:17:16.423,63,48.92524,24.95433
2011-01-04 07:17:06.117,2011-01-04 07:17:22.543,60,48.92462,24.95319
2011-01-04 07:17:06.133,2011-01-04 07:17:19.483,65,48.92493,24.95376
2011-01-04 07:17:11.82,2011-01-04 07:17:26.603,53,48.92426,24.95252
2011-01-04 07:17:15.743,2011-01-04 07:17:30.663,44,48.92395,24.95193
2011-01-04 07:17:19.65,2011-01-04 07:17:34.783,37,48.92363,24.95133
2011-01-04 07:17:26.757,2011-01-04 07:17:40.903,30,48.92332,24.95074
2011-01-04 07:17:33.93,2011-01-04 07:17:47.96,26,48.92301,24.95015
2011-01-04 07:17:41.1,2011-01-04 07:17:55.02,29,48.92271,24.94959
2011-01-04 07:17:46.68,2011-01-04 07:18:01.08,33,48.9224,24.94906
2011-01-04 07:17:52.243,2011-01-04 07:18:07.14,36,48.92206,24.94843
2011-01-04 07:17:57.867,2011-01-04 07:18:13.2,33,48.92172,24.94781
2011-01-04 07:18:05.007,2011-01-04 07:18:19.26,30,48.92141,24.94724
2011-01-04 07:18:12.117,2011-01-04 07:18:26.32,28,48.92108,24.94663
2011-01-04 07:18:19.197,2011-01-04 07:18:33.38,29,48.92077,24.94606
2011-01-04 07:18:24.82,2011-01-04 07:18:39.44,37,48.92045,24.94546
2011-01-04 07:18:30.367,2011-01-04 07:18:44.5,36,48.92015,24.94491
2011-01-04 07:18:34.197,2011-01-04 07:18:49.56,36,48.91986,24.94436
2011-01-04 07:18:39.68,2011-01-04 07:18:54.68,35,48.91957,24.94382
2011-01-04 07:18:46.773,2011-01-04 07:19:00.74,31,48.91925,24.94321
2011-01-04 07:18:52.337,2011-01-04 07:19:06.797,23,48.91893,24.94262
2011-01-04 07:18:59.43,2011-01-04 07:19:14.857,25,48.91862,24.94204
2011-01-04 07:19:06.493,2011-01-04 07:19:21.917,27,48.91833,24.94149
2011-01-04 07:19:15.4,2011-01-04 07:19:29.977,30,48.91796,24.94082
2011-01-04 07:19:20.947,2011-01-04 07:19:36.037,34,48.91764,24.94024
2011-01-04 07:19:28.117,2011-01-04 07:19:42.097,34,48.9173,24.93963
2011-01-04 07:19:33.633,2011-01-04 07:19:48.157,34,48.91697,24.93903
2011-01-04 07:19:39.21,2011-01-04 07:19:53.217,37,48.91669,24.9385
2011-01-04 07:19:43.133,2011-01-04 07:19:58.277,40,48.91637,24.93793
2011-01-04 07:19:48.65,2011-01-04 07:20:03.397,39,48.91605,24.93733
2011-01-04 07:19:54.21,2011-01-04 07:20:09.457,34,48.91588,24.93658
2011-01-04 07:20:01.32,2011-01-04 07:20:15.517,35,48.91588,24.9358
2011-01-04 07:20:05.273,2011-01-04 07:20:20.577,40,48.91572,24.93512
2011-01-04 07:20:10.85,2011-01-04 07:20:25.697,45,48.91568,24.9343
2011-01-04 07:20:14.79,2011-01-04 07:20:29.757,48,48.91566,24.93358
2011-01-04 07:20:18.757,2011-01-04 07:20:32.877,49,48.91564,24.93282
2011-01-04 07:20:22.757,2011-01-04 07:20:36.937,51,48.91562,24.93205
2011-01-04 07:20:26.757,2011-01-04 07:20:40.997,54,48.91559,24.93125
2011-01-04 07:20:30.71,2011-01-04 07:20:45.057,56,48.91556,24.9304
2011-01-04 07:20:34.71,2011-01-04 07:20:50.113,59,48.91552,24.92929
2011-01-04 07:20:40.337,2011-01-04 07:20:54.287,57,48.9155,24.92839
2011-01-04 07:20:44.337,2011-01-04 07:20:58.343,53,48.91548,24.92753
2011-01-04 07:20:48.367,2011-01-04 07:21:02.407,51,48.91554,24.92676
2011-01-04 07:20:52.35,2011-01-04 07:21:06.463,51,48.91564,24.926
2011-01-04 07:20:56.29,2011-01-04 07:21:10.523,50,48.91575,24.92524
2011-01-04 07:21:00.273,2011-01-04 07:21:14.583,54,48.91586,24.92446
2011-01-04 07:21:04.21,2011-01-04 07:21:18.643,55,48.91595,24.92364
2011-01-04 07:21:08.15,2011-01-04 07:21:22.703,53,48.916,24.92282
2011-01-04 07:21:12.15,2011-01-04 07:21:26.763,55,48.91601,24.922
2011-01-04 07:21:16.007,2011-01-04 07:21:29.823,57,48.91602,24.92113
2011-01-04 07:21:19.977,2011-01-04 07:21:34.883,60,48.91604,24.92001
2011-01-04 07:21:23.93,2011-01-04 07:21:38.003,61,48.91604,24.91932
2011-01-04 07:21:27.913,2011-01-04 07:21:41.063,59,48.91605,24.91862
2011-01-04 07:21:31.9,2011-01-04 07:21:45.123,55,48.91605,24.91775
2011-01-04 07:21:35.837,2011-01-04 07:21:50.183,53,48.91606,24.9167
2011-01-04 07:21:39.9,2011-01-04 07:21:54.243,53,48.91606,24.9159
2011-01-04 07:21:43.913,2011-01-04 07:21:58.303,52,48.91607,24.91509
2011-01-04 07:21:47.93,2011-01-04 07:22:02.363,49,48.91608,24.91432
2011-01-04 07:21:51.9,2011-01-04 07:22:06.423,48,48.916,24.91359
2011-01-04 07:21:55.773,2011-01-04 07:22:10.483,53,48.9158,24.91288
2011-01-04 07:21:59.68,2011-01-04 07:22:14.54,55,48.91556,24.91213
2011-01-04 07:22:03.697,2011-01-04 07:22:18.66,55,48.91531,24.91137
2011-01-04 07:22:07.587,2011-01-04 07:22:21.783,57,48.91505,24.91059
2011-01-04 07:22:11.57,2011-01-04 07:22:25.84,58,48.91479,24.90979
2011-01-04 07:22:15.447,2011-01-04 07:22:29.9,56,48.91453,24.909
2011-01-04 07:22:21.007,2011-01-04 07:22:34.96,55,48.91423,24.90805
2011-01-04 07:22:24.9,2011-01-04 07:22:40.02,56,48.91393,24.90709
2011-01-04 07:22:30.4,2011-01-04 07:22:45.14,57,48.9136,24.90612
2011-01-04 07:22:35.993,2011-01-04 07:22:50.2,59,48.91328,24.90512
2011-01-04 07:22:39.993,2011-01-04 07:22:54.26,60,48.91301,24.90431
2011-01-04 07:22:43.977,2011-01-04 07:23:00.38,59,48.91261,24.90308
2011-01-04 07:22:43.977,2011-01-04 07:22:57.32,59,48.91281,24.90369
2011-01-04 07:22:49.587,2011-01-04 07:23:04.44,59,48.91234,24.90226
2011-01-04 07:22:53.617,2011-01-04 07:23:10.56,60,48.91194,24.90103
2011-01-04 07:22:53.617,2011-01-04 07:23:07.5,60,48.91214,24.90165
2011-01-04 07:22:59.257,2011-01-04 07:23:13.62,60,48.91173,24.90041
2011-01-04 07:23:03.29,2011-01-04 07:23:19.74,61,48.91133,24.89916
2011-01-04 07:23:03.29,2011-01-04 07:23:16.68,60,48.91153,24.89979
2011-01-04 07:23:07.4,2011-01-04 07:23:21.8,62,48.91113,24.89853
2011-01-04 07:23:11.54,2011-01-04 07:23:27.917,63,48.91071,24.89724
